,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
100,@CBSNews,"""Go back to your country"": Woman arrested in beating of 92-year-old man with a brick on a California sidewalk… https://t.co/YDqaR2TSWK",Wed Jul 11 21:50:50 +0000 2018,-0.7269,0,0.276,0.724,1
101,@CBSNews,"Six months after the Tax Cut and Jobs Act became law, there's still little evidence that the average job holder is… https://t.co/k1m8mNiZil",Wed Jul 11 21:29:51 +0000 2018,-0.2732,0,0.091,0.909,2
102,@CBSNews,NEW: Justice Department reveals one child separated from parents by the federal government may actually be an Ameri… https://t.co/kUwGZ88R80,Wed Jul 11 21:11:55 +0000 2018,0.5267,0.159,0,0.841,3
103,@CBSNews,"JUST IN: Croatia beat England 2-1 in a dramatic finish to the advance to their first-ever World Cup, where they'll… https://t.co/l4F4zOjZF6",Wed Jul 11 20:55:05 +0000 2018,0,0,0,1,4
104,@CBSNews,"WATCH: World leaders at NATO summit greeted by unusual performance -- a woman flying and flipping through the air,… https://t.co/ck53rgURAJ",Wed Jul 11 20:43:49 +0000 2018,0.2732,0.104,0,0.896,5
105,@CBSNews,"Cardi B is making mommy moves now after she and her husband, Offset, welcomed baby daughter, Kulture Kiari Cephus… https://t.co/MHhOW9mwe7",Wed Jul 11 20:14:48 +0000 2018,0.34,0.118,0,0.882,6
106,@CBSNews,An adorable 3-year-old couldn't resist touching Meghan Markle's hair during the royal couple's trip to Ireland -- a… https://t.co/az2EHd8KJb,Wed Jul 11 19:59:59 +0000 2018,0.4939,0.151,0,0.849,7
107,@CBSNews,"Paul Manafort's ""solitary confinement"" includes a private bathroom, a personal phone and a living space bigger than… https://t.co/DdBWtYref5",Wed Jul 11 19:59:36 +0000 2018,0,0,0,1,8
108,@CBSNews,"Kylie Jenner is 20 and with $900M, she's set to become the youngest self-made billionaire in history. Even the othe… https://t.co/Yft3bwgIeU",Wed Jul 11 19:44:39 +0000 2018,0,0,0,1,9
109,@CBSNews,The founder of Papa John's allegedly used the N-word during a conference call and graphically described violence ag… https://t.co/zy8U3sb7DD,Wed Jul 11 19:29:48 +0000 2018,-0.6249,0,0.194,0.806,10
110,@CBSNews,"MILE HIGH MARIACHI: Award-wining band surprises unsuspecting passengers on a Southwest flight by ""elevating"" their… https://t.co/nzTVckz5TH",Wed Jul 11 19:14:38 +0000 2018,0.2263,0.119,0,0.881,11
111,@CBSNews,A firefighter died and at least a dozen people were injured after a natural gas explosion leveled buildings in Sun… https://t.co/EMF6xns4GX,Wed Jul 11 19:00:08 +0000 2018,-0.5859,0.105,0.265,0.63,12
112,@CBSNews,"WATCH: A group of men only needed a few seconds to make off with more than $27,000 worth of computers and phones fr… https://t.co/YGYyCMLZhi",Wed Jul 11 18:45:25 +0000 2018,0.2878,0.093,0,0.907,13
113,@CBSNews,A man could lose his limbs and even his life after contracting a flesh-eating bacteria in New Jersey waters… https://t.co/aPO3glVXsZ,Wed Jul 11 18:29:35 +0000 2018,-0.4019,0,0.137,0.863,14
114,@CBSNews,"WATCH: Police officer caught on news station's security camera -- but she wasn't fighting crime, she was dancing al… https://t.co/kzX3YdvvHM",Wed Jul 11 18:15:25 +0000 2018,0.7987,0.324,0,0.676,15
115,@CBSNews,"Sarah Palin said she was ""duped"" by Sacha Baron Cohen for his upcoming Showtime series ""Who Is America?"" She wrote… https://t.co/EsSf7f6U3c",Wed Jul 11 17:59:43 +0000 2018,0,0,0,1,16
116,@CBSNews,A mayor in Pennsylvania suggested that people protesting police should be hit with water cannons. Now the city is s… https://t.co/o52psmlwXJ,Wed Jul 11 17:44:45 +0000 2018,-0.4215,0,0.128,0.872,17
117,@CBSNews,"When it comes to household tasks, ""DIY"" may seem like the cheaper alternative to hiring a pro. But the reality can… https://t.co/K7KoGAUTVp",Wed Jul 11 17:41:41 +0000 2018,0.1901,0.08,0,0.92,18
118,@CBSNews,"President Trump, NATO allies take photo at summit in Brussels https://t.co/4QYMUvUbQv https://t.co/vLcouxPIFh",Wed Jul 11 17:40:44 +0000 2018,0,0,0,1,19
119,@CBSNews,"Student debt is finally leveling off—but not for the reason you'd expect 
https://t.co/YDRuhkklWY https://t.co/DeVRsrKtFK",Wed Jul 11 17:31:26 +0000 2018,-0.3612,0,0.161,0.839,20
120,@CBSNews,"""Go back to your country"": Woman arrested in beating of 92-year-old man with a brick on a California sidewalk… https://t.co/YDqaR2TSWK",Wed Jul 11 21:50:50 +0000 2018,-0.7269,0,0.276,0.724,21
121,@CBSNews,"Six months after the Tax Cut and Jobs Act became law, there's still little evidence that the average job holder is… https://t.co/k1m8mNiZil",Wed Jul 11 21:29:51 +0000 2018,-0.2732,0,0.091,0.909,22
